Código,Nome,CPF,Contato,Turno,Equipe
TEC-1,Kwame Fatumbi,017.880.281-63,999018381,Noite,Mecânico
TEC-2,Arthur Vaz,017.880.281-63,999018381,Tarde,Mecânico
TEC-3,Abilio Souza,017.880.281-63,999018381,Manhã,Técnico
TEC-4,Diego Borges,017.880.281-63,999018381,Manhã,Técnico
TEC-5,Bruno Santos,017.880.281-63,999018381,Manhã,Técnico
TEC-6,Rodolfo Neumann,017.880.281-63,999018381,Manhã,Técnico
TEC-7,Rafhael Vaz,017.880.281-63,999018381,Manhã,Técnico
TEC-8,Cleber Machado,017.880.281-63,999018381,Noite,Mecânico
TEC-9,Claudio Manoel,017.880.281-63,999018381,Tarde,Mecânico
TEC-10,Ricardo Pereira,017.880.281-63,999018381,Manhã,Técnico
TEC-11,Carlos Wilson,017.880.281-63,999018381,Manhã,Técnico
TEC-12,Magnus Xavier,017.880.281-63,999018381,Manhã,Técnico
TEC-13,Antonio Gaviao,017.880.281-63,999018381,Manhã,Técnico
TEC-14,Roberto Junior,017.880.281-63,999018381,Manhã,Técnico
